symbol,signal_date,score,signal,entry_lag,hold_days,entry_date,exit_date,entry_open,exit_close,pnl
COIN,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,340.5799865722656,377.760009765625,0.10916678800640674
DOCN,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,28.219999313354492,27.860000610351562,-0.012756864343103235
FSLR,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,165.0,174.72999572753906,0.058969671075994316
GOOGL,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,175.5399932861328,191.89999389648438,0.09319813852154202
GTLB,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,45.5,43.810001373291016,-0.03714282696063702
HOOD,2025-06-30,3,LONG,2,20,2025-07-02,2025-07-31,91.25,103.05000305175781,0.1293151019370719
INTC,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,22.530000686645508,19.799999237060547,-0.12117183161930169
KTOS,2025-06-30,3,LONG,2,20,2025-07-02,2025-07-31,42.959999084472656,58.70000076293945,0.3663873839363237
MSTR,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,383.3399963378906,401.8599853515625,0.04831217506807624
NTDOY,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,22.5,21.0,-0.06666666666666667
NU,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,13.65999984741211,12.220000267028809,-0.10541724717926033
ORCL,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,217.67999267578125,253.77000427246094,0.16579388465173817
PLUG,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,1.4199999570846558,1.5,0.05633806009374048
ROKU,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,86.4000015258789,94.16000366210938,0.08981483795351738
RUN,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,9.085000038146973,10.260000228881836,0.12933408759506432
S,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,18.200000762939453,18.34000015258789,0.007692273834049358
SHOP,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,111.80000305175781,122.20999908447266,0.09311266322502278
SHOP,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,111.80000305175781,122.20999908447266,0.09311266322502278
SOFI,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,17.524999618530273,22.579999923706055,0.28844510215171787
TTWO,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,239.92999267578125,222.72999572753906,-0.07168756501186845
TWLO,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,116.48999786376953,129.0,0.10739121268471842
UPST,2025-06-30,2,LONG,2,20,2025-07-02,2025-07-31,68.17500305175781,81.73999786376953,0.19897314565154187
NIO,2025-09-30,2,LONG,2,20,2025-10-02,2025-10-30,7.849999904632568,7.010000228881836,-0.10700632942110207
