entry_day,hold_days,year,ret_col,count,mean,median,std,sharpe,t_stat,win_rate
5,5,2020,pnl,81,0.011101131699432925,0.0135119435745725,0.08146188408080364,0.1362739374947613,1.2264654374528514,0.6049382716049383
5,5,2021,pnl,81,0.0006174522627215273,0.0073260729936753,0.05982181296593411,0.010321523740397824,0.0928937136635804,0.5308641975308642
5,5,2022,pnl,81,0.004592198925826683,0.0034647000076822,0.08604506982522543,0.05336969259429213,0.48032723334862915,0.5432098765432098
5,5,2023,pnl,75,0.027403314171801287,0.0183887694984079,0.06968372353499659,0.39325272505047437,3.405668500011679,0.6266666666666667
5,5,2024,pnl,87,0.014813468249183837,0.0189955808611912,0.06718891777757233,0.2204748750117326,2.0564527309168095,0.6206896551724138
5,5,2025,pnl,87,-0.01661676067054602,-0.0102202965824614,0.0655175462632558,-0.25362306158076003,-2.3656384319686357,0.45977011494252873
5,5,2026,pnl,13,-0.017521802784461707,-0.0260652914838686,0.07133113065699352,-0.24564033435440596,-0.8856688208369292,0.46153846153846156
5,10,2018,pnl,69,0.011904126866504343,0.0165373503997804,0.06510192089096234,0.1828536962287531,1.5188968765165334,0.5942028985507246
5,10,2019,pnl,75,0.024114371815361555,0.0228092461227809,0.08354143027160409,0.28865165148552746,2.4997966303079897,0.6933333333333334
5,10,2020,pnl,81,0.029012942301825065,0.030299369617187,0.10815922572011778,0.26824288088841797,2.4141859279957614,0.6666666666666666
5,10,2021,pnl,81,0.01126855643212521,0.008816631921761,0.0839508105454886,0.13422808378984455,1.208052754108601,0.5432098765432098
5,10,2022,pnl,81,0.005391139909993829,0.0051696989714359,0.08868103426768002,0.06079247896140788,0.547132310652671,0.5308641975308642
5,10,2023,pnl,75,0.04117301902731325,0.0290546440507718,0.11807931633623,0.34868951061736647,3.0197397422780314,0.5733333333333334
5,10,2024,pnl,87,0.02462562816935111,0.0233951647492869,0.0779140609611685,0.316061412607209,2.948024599442142,0.632183908045977
5,10,2025,pnl,87,-0.027435704325090564,-0.0103323237738402,0.08860648306008065,-0.30963540564506403,-2.8880867967084285,0.4482758620689655
5,10,2026,pnl,10,-0.04983334378114995,-0.0355809251224537,0.06873832137866501,-0.7249717883948388,-2.292562090693316,0.2
5,20,2018,pnl,69,0.036937942186559825,0.0375335537403414,0.08661601434263906,0.4264562675493154,3.5424118085161185,0.6521739130434783
5,20,2019,pnl,75,0.032343845960947484,0.0268522940651243,0.08981242525705195,0.3601266291203721,3.11878809397499,0.7066666666666667
5,20,2020,pnl,81,0.048484722158347045,0.0483437742313957,0.16603546759418325,0.2920142476838221,2.628128229154399,0.7037037037037037
5,20,2021,pnl,81,0.014817847442933095,0.013294545030386,0.09731781734717423,0.15226243093874067,1.370361878448666,0.5679012345679012
5,20,2022,pnl,81,-0.006561800485125314,-0.004305094658682,0.11286551035963467,-0.05813822543500483,-0.5232440289150435,0.48148148148148145
5,20,2023,pnl,75,0.06751822544890977,0.0274964205173461,0.18032522822210653,0.37442473310360985,3.242613306729344,0.6666666666666666
5,20,2024,pnl,87,0.024676275017245935,0.023413534600808,0.10585846463397823,0.23310630002586866,2.174270820004324,0.6091954022988506
5,20,2025,pnl,87,-0.003480756577686285,0.0028125410412291,0.12996333893134474,-0.02678260351194156,-0.24981149498446664,0.5172413793103449
5,20,2026,pnl,9,-0.0692769791890017,-0.0608566514461929,0.08757847083773891,-0.7910275039781717,-2.373082511934515,0.1111111111111111
